lonnrot_id	teos_wikidata_id	teos_nimi	tekija_etunimi	tekija_sukunimi	pseudonyymi	tekija_wikidata_id	vuosi	kokoteksti_linkki	genre	kokoomateoksen nimi (jos ei alkuperäinen julkaisu)	Alunperin kokoomateoksessa
282	Q20916969	Tukkijoella	Teuvo	Pakkala		Q1347723	1899	http://www.lonnrot.net/kirjat/0282.zip	draama		
283	na	Runoja 	Valter	Juva		Q4008356	1902	http://www.lonnrot.net/kirjat/0283.zip	lyriikka		
284	na	Lapsia	Teuvo	Pakkala		Q1347723	1895	http://www.lonnrot.net/kirjat/0284.zip	romaani		
285	na	Elsa	Teuvo	Pakkala		Q1347723	1894	http://www.lonnrot.net/kirjat/0285.zip	romaani		
288	na	Oulua soutamassa	Teuvo	Pakkala		Q1347723	1885	http://www.lonnrot.net/kirjat/0288.zip	romaani		
289	na	Meripoikia	Teuvo	Pakkala		Q1347723	1915	http://www.lonnrot.net/kirjat/0289.zip	draama		
291	na	Kauppaneuvoksen härkä	Teuvo	Pakkala		Q1347723	1901	http://www.lonnrot.net/kirjat/0291.zip	draama		
293	na	Aili	Matti	Kurikka		Q6791696	1887	http://www.lonnrot.net/kirjat/0293.zip	romaani		
294	na	"En ollenkaan muista"	Evald Ferdinand	Jahnsson		na	1907	http://www.lonnrot.net/kirjat/0294.zip	draama		
295	na	Jouluaattona juomarin kodissa	Evald Ferdinand	Jahnsson		na	1892	http://www.lonnrot.net/kirjat/0295.zip	draama		
299	na	Valoa kansalle! Draamallinen kuvaelma kolmessa näytöksessä	Wilho	Soini		Q11902420	1883	http://www.lonnrot.net/kirjat/0299.zip	draama		
300	na	Kootut teokset III	Juhana Heikki	Erkko		Q5629029	1873	http://www.lonnrot.net/kirjat/0300.zip	draama		
302	na	Kootut teokset IV. Kertomuksia ja kirjoitelmia	Juhana Heikki	Erkko		Q5629029	1911	http://www.lonnrot.net/kirjat/0302.zip	novelleja		
303	na	Valkaman perhe: kertomus	Osmo	Lajula		Q5405758	1908	http://www.lonnrot.net/kirjat/0303.zip	novelli		
304	na	Muuan suomalainen soturi Kristiina kuningattaren aikana 	Evald Ferdinand	Jahnsson		na	1884	http://www.lonnrot.net/kirjat/0304.zip	romaani		
305	na	Minä ja muut : Sakeus Pyöriän kertomuksia	Pietari	Päivärinta		Q7192746	1885	http://www.lonnrot.net/kirjat/0305.zip	novelleja		
306	na	Syyslehtiä	Pietari	Päivärinta		Q7192746	1900	http://www.lonnrot.net/kirjat/0306.zip	novelleja		
310	na	Naimisen juoruja : kuvaelma kansan elämästä	Pietari	Päivärinta		Q7192746	1880–1882	http://www.lonnrot.net/kirjat/0310.zip	novelleja		
311	na	Heikki Helmikangas/Helmikankaan Heikki	Eero	Sissala		Q11856807	1887	http://www.lonnrot.net/kirjat/0311.zip	romaani		
312	na	Munkkiniemen Elsa	Eero	Sissala		Q11856807	1891	http://www.lonnrot.net/kirjat/0312.zip	romaani		
314	na	Lalli	Evald Ferdinand	Jahnsson		na	1873	http://www.lonnrot.net/kirjat/0314.zip	draama		
316	na	Uni	Sulo M.	Hytönen		Q11894680	1906	http://www.lonnrot.net/kirjat/0316.zip	romaani		
317	na	Novelleja I	Samuli	Suomalainen		Q6196881	1876	http://www.lonnrot.net/kirjat/0317.zip	novelleja		
321	na	Novelleja II	Samuli	Suomalainen		Q6196881	1885	http://www.lonnrot.net/kirjat/0321.zip	novelleja		
324	na	Iloisia juttuja I	Kaapro 	Jääskeläinen		na	1888, 1908	http://www.lonnrot.net/kirjat/0324.zip	novelleja		
327	na	Iloisia juttuja II	Kaapro 	Jääskeläinen		na	1890, 1908	http://www.lonnrot.net/kirjat/0327.zip	novelleja		
325	na	Jouluvieraita 	Emil	Nervander		Q4992957	1903	http://www.lonnrot.net/kirjat/0325.zip	romaani		
329	na	Ensitaistelujen ajoilta	Otto 	Tiuppa		Q17384274	1905	http://www.lonnrot.net/kirjat/0329.zip	romaani		
331	na	Ylhäiset ja alhaiset : alkuperäinen romaani kahdessa osassa. 	Karl Jacob	Gummerus		Q5397220	1870, 1880	http://www.lonnrot.net/kirjat/0331.zip	romaani		
332	na	Pohjavirtoja	Marja	Salmela		Q18688604	1911	http://www.lonnrot.net/kirjat/0332.zip	romaani		
333	na	Säveliä Hämeestä ja muualta	na	na		na	1885	http://www.lonnrot.net/kirjat/0333.zip	novelleja		
340	na	Iloisia juttuja III	Kaapro 	Jääskeläinen		na	1908	http://www.lonnrot.net/kirjat/0340.zip	novelleja		
342	na	Iloisia juttuja IV	Kaapro 	Jääskeläinen		na	1908	http://www.lonnrot.net/kirjat/0342.zip	novelleja		
345	na	Soitto on suruista tehty : historiallisia runoelmia, sisältää: 1. Pilatus. - 2. Piispa Tuomas	Antti	Mäkinen		Q11852172	1902	http://www.lonnrot.net/kirjat/0345.zip	lyriikka		
361	na	Kalervo : Runollinen Kalenteri	J(ohan) A(lbert)	Bergman		Q11865405	1871	http://www.lonnrot.net/kirjat/0361.zip	lyriikka		
388	na	Vuosisatojen perintö I	Betty	Elfving	Aura	Q6579597	1902	http://www.lonnrot.net/kirjat/0388.zip	romaani		
389	na	Vuosisatojen perintö	Betty	Elfving	Aura	Q6579597	1914	http://www.lonnrot.net/kirjat/0389.zip	romaani		
390	na	Auringon noustessa, kasvavalle nuorisolle kirjoitti T. R	Tekla 	Roschier		Q11896810	1898	http://www.lonnrot.net/kirjat/0390.zip	romaani		
391	na	Kohtaloonsa kompastunut	Akseli	Rauanheimo		Q5392288	1899	http://www.lonnrot.net/kirjat/0391.zip	romaani		
393	na	Muistoja ja toiveita ystäville jouluksi	Arvi	Jännes		Q5482287	1889	http://www.lonnrot.net/kirjat/0393.zip	lyriikka		
394	Q11896034	Taistelu Heikkilän talosta ym. kertomuksia	Johannes	Linnankoski		Q1092762	1907	http://www.lonnrot.net/kirjat/0394.zip	novelleja		
397	na	ltapuhteeksi I, kokoelma pieniä kertomuksia ; Reservikasarmista : muistoja sotamiesajoiltani ; Tuokiokuvia matkan varrelta 	Santeri	Ivalo		Q4200624	1891	http://www.lonnrot.net/kirjat/0397.zip	novelleja		
